SampleName,Time(abs),Temperature(room),Humidity(room)
Continuum,3730008290,25.813,12.482
Continuum,3730008295,25.823,12.513
Continuum,3730008300,25.813,12.551
Continuum,3730008305,25.813,12.574
Continuum,3730008310,25.802,12.574
Continuum,3730008315,25.791,12.551
Continuum,3730008320,25.834,12.543
Continuum,3730008325,25.834,12.52
Continuum,3730008330,25.823,12.505
Continuum,3730008335,25.834,12.505
Continuum,3730008340,25.823,12.482
Continuum,3730008345,25.834,12.49
Continuum,3730008350,25.834,12.475
Continuum,3730008355,25.834,12.49
Continuum,3730008360,25.813,12.543
Continuum,3730008365,25.845,12.574
Continuum,3730008370,25.834,12.581
Continuum,3730008375,25.823,12.589
Continuum,3730008380,25.802,12.589
Continuum,3730008385,25.813,12.581
Continuum,3730008390,25.802,12.559
Continuum,3730008395,25.802,12.574
Continuum,3730008400,25.802,12.574
Continuum,3730008405,25.834,12.604
Continuum,3730008410,25.823,12.62
Continuum,3730008415,25.802,12.65
Continuum,3730008420,25.802,12.65
Continuum,3730008425,25.813,12.65
Continuum,3730008430,25.813,12.642
Continuum,3730008435,25.834,12.612
Continuum,3730008440,25.823,12.62
Continuum,3730008445,25.823,12.62
Continuum,3730008450,25.834,12.627
Continuum,3730008455,25.834,12.604
Continuum,3730008460,25.823,12.597
Continuum,3730008465,25.834,12.581
Continuum,3730008470,25.802,12.604
Continuum,3730008475,25.834,12.65
Continuum,3730008480,25.813,12.673
Continuum,3730008485,25.802,12.665
Continuum,3730008490,25.823,12.658
Continuum,3730008495,25.834,12.612
Continuum,3730008500,25.823,12.589
Continuum,3730008505,25.834,12.574
Continuum,3730008510,25.855,12.551
Continuum,3730008515,25.855,12.543
Continuum,3730008520,25.855,12.513
Continuum,3730008525,25.845,12.505
Continuum,3730008530,25.834,12.497
Continuum,3730008535,25.845,12.482
Continuum,3730008540,25.855,12.467
Continuum,3730008545,25.845,12.467
Continuum,3730008550,25.845,12.459
Continuum,3730008555,25.834,12.467
Continuum,3730008560,25.813,12.459
Continuum,3730008565,25.813,12.429
Continuum,3730008570,25.813,12.444
Continuum,3730008575,25.813,12.459
Continuum,3730008580,25.834,12.482
Continuum,3730008585,25.823,12.49
Continuum,3730008590,25.845,12.505
Continuum,3730008595,25.845,12.513
Continuum,3730008600,25.845,12.513
Continuum,3730008605,25.866,12.497
Continuum,3730008610,25.855,12.49
Continuum,3730008615,25.855,12.505
Continuum,3730008620,25.877,12.52
Continuum,3730008625,25.877,12.551
Continuum,3730008630,25.866,12.543
Continuum,3730008635,25.855,12.536
Continuum,3730008640,25.855,12.52
Continuum,3730008645,25.866,12.513
Continuum,3730008650,25.845,12.528
Continuum,3730008655,25.855,12.536
Continuum,3730008660,25.845,12.528
Continuum,3730008665,25.845,12.513
Continuum,3730008670,25.855,12.497
Continuum,3730008675,25.845,12.49
Continuum,3730008680,25.866,12.475
Continuum,3730008685,25.855,12.459
Continuum,3730008690,25.834,12.436
Continuum,3730008695,25.845,12.436
Continuum,3730008700,25.855,12.444
Continuum,3730008705,25.855,12.459
Continuum,3730008710,25.834,12.475
Continuum,3730008715,25.855,12.482
Continuum,3730008720,25.845,12.482
Continuum,3730008725,25.877,12.475
Continuum,3730008730,25.845,12.49
Continuum,3730008735,25.866,12.475
Continuum,3730008740,25.866,12.497
Continuum,3730008745,25.855,12.49
Continuum,3730008750,25.855,12.49
Continuum,3730008755,25.855,12.49
Continuum,3730008760,25.866,12.505
Continuum,3730008765,25.866,12.475
Continuum,3730008770,25.877,12.452
Continuum,3730008775,25.866,12.421
Continuum,3730008780,25.845,12.429
Continuum,3730008785,25.845,12.406
Continuum,3730008790,25.855,12.398
Continuum,3730008795,25.855,12.406
Continuum,3730008800,25.866,12.429
Continuum,3730008805,25.855,12.436
Continuum,3730008810,25.866,12.406
Continuum,3730008815,25.855,12.398
Continuum,3730008820,25.845,12.406
Continuum,3730008825,25.866,12.414
Continuum,3730008830,25.877,12.459
Continuum,3730008835,25.866,12.49
Continuum,3730008840,25.888,12.497
Continuum,3730008845,25.877,12.49
Continuum,3730008850,25.877,12.475
Continuum,3730008855,25.866,12.436
